,S,iteration,R_e,I_max
117,0.25,412,2.0416666666666665,255
118,0.25,124,2.9391304347826086,243
119,0.25,1030,2.375,247
120,0.25,307,1.355263157894737,258
121,0.25,1293,2.5714285714285716,249
122,0.25,978,3.5,256
123,0.25,527,2.642156862745098,238
124,0.25,745,2.4878048780487805,248
125,0.25,963,2.882978723404255,256
126,0.25,864,3.6283783783783785,255
127,0.25,1352,2.2941176470588234,263
128,0.25,1156,3.227272727272727,252
129,0.25,1146,3.1785714285714284,276
130,0.25,914,2.906015037593985,254
131,0.25,978,3.395759717314488,240
132,0.25,1183,2.6956521739130435,272
133,0.25,1037,2.341040462427746,239
134,0.25,1033,2.38659793814433,256
135,0.25,1225,3.6176470588235294,265
136,0.25,768,2.625,258
137,0.25,1173,7.14,250
138,0.25,964,3.857142857142857,243
139,0.25,850,2.2777777777777777,248
140,0.25,728,2.730769230769231,254
141,0.25,346,2.7763975155279503,251
142,0.25,1067,3.0681818181818183,245
143,0.25,120,0.1575,235
144,0.25,815,2.857142857142857,254
145,0.25,822,2.816666666666667,233
146,0.25,133,2.7475083056478407,276
147,0.25,134,2.217506631299735,245
148,0.25,806,2.5801104972375692,253
149,0.25,1025,2.5476190476190474,289
150,0.25,766,3.7466666666666666,264
151,0.25,1163,2.82,267
152,0.25,583,2.3504273504273505,272
153,0.25,814,2.652173913043478,238
154,0.25,767,3.328888888888889,273
155,0.25,971,4.9541984732824424,264
156,0.25,888,3.536082474226804,252
157,0.25,550,3.248447204968944,265
158,0.25,112,0.167625,270
159,0.25,382,2.3125,237
160,0.25,276,2.603448275862069,259
161,0.25,1036,2.9298245614035086,248
162,0.25,919,2.3783783783783785,233
163,0.25,597,2.7245762711864407,230
164,0.25,1026,2.8962264150943398,259
165,0.25,208,2.0594059405940595,254
166,0.25,271,2.2196531791907512,235
167,0.25,214,2.47787610619469,246
168,0.25,850,2.388235294117647,250
169,0.25,738,3.017699115044248,226
170,0.25,141,2.2964426877470356,246
171,0.25,1071,2.2601626016260163,269
172,0.25,656,2.580858085808581,271
173,0.25,946,2.623529411764706,255
174,0.25,1130,4.788732394366197,328
175,0.25,1303,3.236559139784946,265
176,0.25,860,2.529032258064516,232
177,0.25,729,3.5164835164835164,236
178,0.25,1038,3.3098591549295775,261
179,0.25,603,2.889189189189189,244
180,0.25,144,2.438202247191011,227
181,0.25,734,2.4029850746268657,256
182,0.25,749,3.0508474576271185,256
183,0.25,667,2.3333333333333335,267
184,0.25,503,2.316326530612245,250
185,0.25,640,3.5492957746478875,254
186,0.25,957,4.22680412371134,269
187,0.25,537,2.6045197740112993,273
188,0.25,226,2.2336448598130842,238
189,0.25,1002,2.9468085106382977,254
190,0.25,1383,3.5283018867924527,264
191,0.25,601,2.3318385650224216,272
192,0.25,546,2.8035714285714284,264
193,0.25,578,3.098360655737705,275
194,0.25,1189,2.5988372093023258,241
195,0.25,597,2.5480427046263343,253
196,0.25,648,3.2,244
197,0.25,356,2.2635658914728682,275
198,0.25,225,1.9435483870967742,269
199,0.25,1138,3.188888888888889,271
200,0.25,106,0.189125,268
201,0.25,682,2.245614035087719,237
202,0.25,862,2.6504065040650406,241
203,0.25,675,2.7806122448979593,269
204,0.25,113,0.167,273
205,0.25,862,3.1417004048582995,261
206,0.25,1023,3.04040404040404,231
207,0.25,895,2.946236559139785,265
208,0.25,710,2.90234375,234
209,0.25,583,2.668831168831169,274
210,0.25,1040,2.47244094488189,253
211,0.25,628,2.6056338028169015,269
212,0.25,1000,2.9270833333333335,251
213,0.25,632,2.959349593495935,260
214,0.25,854,2.672727272727273,271
215,0.25,1240,2.8555555555555556,265
216,0.25,992,2.737327188940092,237
217,0.25,100,0.16225,240
218,0.25,456,2.227027027027027,271
219,0.25,1288,2.36231884057971,278
220,0.25,877,2.0956521739130434,236
221,0.25,732,2.957627118644068,291
222,0.25,902,2.838709677419355,244
223,0.25,793,2.802521008403361,237
224,0.25,790,2.562814070351759,267
225,0.25,982,2.6530612244897958,257
226,0.25,498,2.4509283819628647,233
227,0.25,1231,3.1196581196581197,242
228,0.25,748,2.9581151832460733,247
229,0.25,1127,5.583333333333333,242
230,0.25,1153,3.004854368932039,248
231,0.25,973,2.746987951807229,251
232,0.25,475,2.2964601769911503,243
233,0.25,572,3.4015748031496065,247
234,0.25,766,3.154727793696275,275
235,0.25,593,3.052980132450331,263
236,0.25,799,2.7954545454545454,238
237,0.25,1009,2.433628318584071,253
238,0.25,1193,2.9770992366412212,252
239,0.25,833,2.5303030303030303,227
240,0.25,621,2.7695652173913046,263
241,0.25,747,2.232876712328767,241
242,0.25,841,2.7540106951871657,275
243,0.25,1281,4.457446808510638,420
244,0.25,513,2.24,223
245,0.25,642,2.680327868852459,267
246,0.25,671,2.9458333333333333,272
247,0.25,1031,2.4177215189873418,260
248,0.25,256,3.4017857142857144,252
249,0.25,1011,2.476683937823834,255
250,0.25,1039,2.886904761904762,254
251,0.25,95,0.174875,250
252,0.25,242,2.2048192771084336,254
253,0.25,413,2.0588235294117645,235
254,0.25,989,2.8333333333333335,252
255,0.25,780,2.74375,248
256,0.25,659,2.1748633879781423,261
257,0.25,916,2.7448979591836733,272
258,0.25,862,2.6666666666666665,242
259,0.25,910,3.4390243902439024,238
260,0.25,640,3.076923076923077,245
261,0.25,1024,3.625,228
262,0.25,1302,3.0933333333333333,270
263,0.25,841,2.1037037037037036,266
264,0.25,870,2.50561797752809,296
265,0.25,963,2.6869565217391305,279
266,0.25,405,2.112781954887218,256
267,0.25,181,1.821917808219178,263
268,0.25,853,2.6054054054054054,280
269,0.25,1047,2.7357512953367875,237
270,0.25,864,2.959798994974874,269
271,0.25,592,2.7439024390243905,284
272,0.25,670,2.991596638655462,254
273,0.25,1015,2.971223021582734,260
274,0.25,931,3.838709677419355,248
275,0.25,832,4.105882352941176,269
276,0.25,451,2.019607843137255,256
277,0.25,825,2.8595890410958904,247
278,0.25,828,2.6907216494845363,246
279,0.25,226,2.5636363636363635,250
280,0.25,968,3.289473684210526,267
281,0.25,863,2.75,292
282,0.25,892,2.8608247422680413,254
283,0.25,652,2.0357142857142856,289
284,0.25,800,2.5602836879432624,251
285,0.25,461,2.597069597069597,262
286,0.25,988,3.025,242
287,0.25,936,2.387323943661972,254
288,0.25,1040,3.1512605042016806,278
289,0.25,826,2.50381679389313,251
290,0.25,1270,3.436241610738255,250
291,0.25,451,2.4694835680751175,277
292,0.25,229,2.392405063291139,292
293,0.25,915,2.7697368421052633,266
294,0.25,945,3.1193181818181817,267
295,0.25,315,2.4319526627218937,249
296,0.25,762,2.6157635467980294,249
297,0.25,166,1.7034883720930232,259
298,0.25,479,2.7868852459016393,251
299,0.25,1352,2.5754716981132075,230
300,0.25,608,2.63855421686747,242
301,0.25,1169,3.4380952380952383,282
302,0.25,973,3.1,248
303,0.25,110,0.1905,248
304,0.25,486,4.8924050632911396,247
305,0.25,704,2.796875,240
306,0.25,607,2.9281045751633985,259
307,0.25,954,2.470149253731343,259
308,0.25,883,4.078125,246
